dataset_id,group,metric,method_code,method_label,comparison_label,gap_raw,gap_pct
ECOLI,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.20796373425297227,50.91902216561067
FLAME,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,-0.3011436702124307,-41.37513177384417
GLASS,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.03491863752234681,22.943214148797907
HABERMAN,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.0290909730655135,421.5042722936073
IONOSPHERE,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,-0.06449860932944909,-31.66691065833681
IRIS,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.03690881579874794,6.253265631243836
JAIN,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.3060745670835371,2922.0601584323827
NEW-THYROID,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.0005156445562704,22.447904331766892
PATHBASED,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,-0.5544714088923561,-58.05396376960575
PIMA-INDIANS,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.13693763294196828,13756.465067996845
R15,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,-0.3430803596246347,-34.7406941964258
SEEDS,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.09909663443125283,19.40510921286787
SPIRAL,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,-0.9894163424265247,-98.94163424265247
WDBC,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.0023360082683791,1978.3654024917876
WINE,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,-0.0070443664016912,-50.933305207542546
YEAST,classf,ARI_CLASSF,vns,VNS,VNS vs DBSCAN,0.0038864805272725,135.11766872776386
2-FACE,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.18091549600448997,-25.53123104072742
200DATA,clust,MSI,ils,ILS,ILS vs DBSCAN,0.00868040114990809,1.08265357937189
400P3C,clust,MSI,ils,ILS,ILS vs DBSCAN,0.010891685572898102,1.3360400630474025
A1,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.025249281414859936,-6.081002100688733
AGGREGATION,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.10719226430499967,-20.833047524017427
BANKNOTE,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.1258291222309338,-27.614136718442584
BREASTB,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.02526244935938815,-3.3086827963312775
BROKEN-RING,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.04055231134724763,-8.105732043369795
BUPA,clust,MSI,ils,ILS,ILS vs DBSCAN,0.17756583975245055,32.680712066049786
CHART,clust,MSI,ils,ILS,ILS vs DBSCAN,0.0394949584702306,10.833787351160847
COMPOUND,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.042759848208362095,-6.4934277493343036
CONCRETEDATA,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.12634613120908605,-26.349770725051453
DBLCA,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.023694156384534093,-4.482763564236323
DOWJONES,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.04001628427393078,-6.038997895334277
ECOLI,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.16596819003812824,-28.866820875023798
FACE,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.3243009417567584,-37.32562921824413
FLAME,classf,MSI,ils,ILS,ILS vs DBSCAN,0.01755609775566952,4.3777512026114005
FORESTFIRES,clust,MSI,ils,ILS,ILS vs DBSCAN,0.17101235405002646,47.687512186403325
GAMMA400,clust,MSI,ils,ILS,ILS vs DBSCAN,0.3628362809566834,158.5200980659896
GAUSS9,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.24499375325207734,-42.668668702972006
GLASS,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.03579224992918317,-5.269722446762246
HABERMAN,classf,MSI,ils,ILS,ILS vs DBSCAN,0.20912557141009813,56.10023539693717
HAYES-ROTH,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.09812127206895632,-18.433440143089665
INDIAN,clust,MSI,ils,ILS,ILS vs DBSCAN,0.2573050630432976,51.11367232072779
IONOSPHERE,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.10591795956117067,-15.878721731659812
IRIS,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.027468491684814578,-4.311573699285965
JAIN,classf,MSI,ils,ILS,ILS vs DBSCAN,0.03528912034938608,7.630089757647888
MARONNA,clust,MSI,ils,ILS,ILS vs DBSCAN,0.032650014974846764,5.433931133275887
NEW-THYROID,classf,MSI,ils,ILS,ILS vs DBSCAN,0.03114832922704258,3.872692175855757
NUMBERS2,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.18799083844651748,-28.02095085192936
OUTLIERS,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.005158038503106366,-0.9168026392733394
PARKINSONS,clust,MSI,ils,ILS,ILS vs DBSCAN,0.18714420859889008,43.054126401830864
PATHBASED,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.13879123779125302,-23.881177072246444
PIMA-INDIANS,classf,MSI,ils,ILS,ILS vs DBSCAN,0.0034366983853034716,0.8526308097155328
R15,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.15390260439654746,-19.190687217820297
RUSPINI,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.0657078459398428,-7.747294462189984
SEEDS,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.0664658842920216,-11.821995995044738
SONAR,clust,MSI,ils,ILS,ILS vs DBSCAN,0.06778452978265648,16.443048519007018
SPHERICAL4D3C,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.19456444347228696,-33.075766269985124
SPIRAL,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.5155854115972527,-58.60917222381362
SPRDESP,clust,MSI,ils,ILS,ILS vs DBSCAN,0.21967156061697918,45.57669815819762
SYNTHETICCONTROL,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.09503483016829112,-21.37618711703122
TRIPADVISOR,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.009262493179595876,-2.90068798129615
UNIFORM400,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.22754374671172928,-40.78256061704612
UNIFORM700,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.6008980906917529,-64.20550449543173
VOWEL2,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.11985513154250516,-23.918160880445647
WAVEFORM21,clust,MSI,ils,ILS,ILS vs DBSCAN,-0.1307880854393499,-36.941213949002524
WDBC,classf,MSI,ils,ILS,ILS vs DBSCAN,-0.20140489532815398,-25.823891324423474
WINE,classf,MSI,ils,ILS,ILS vs DBSCAN,0.007334815313249532,1.2638342847520525
YEAST,classf,MSI,ils,ILS,ILS vs DBSCAN,0.008831212043757475,1.6698304465810432
AGGREGATION,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.5445680175245069,307.0356803821181
COMPOUND,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,-0.07674217126519478,-9.416881538267416
ECOLI,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.12988657820164212,31.802167710739766
FLAME,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,-0.10834730910230472,-14.886197635457515
GLASS,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.04388352526524272,28.83357396520151
HABERMAN,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.028617498239853403,414.64401150446963
IONOSPHERE,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,-0.0636496060914164,-31.25007516425517
IRIS,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.00855096685904011,1.4487451308409223
JAIN,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.3168386236587475,3024.8234202128037
NEW-THYROID,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.0022516808446627003,98.02394997098483
PATHBASED,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,-0.5590985304641074,-58.53843013482488
PIMA-INDIANS,classf,ARI_CLASSF,ils,ILS,ILS vs DBSCAN,0.134870472709647,13548.802521807434
