dataset_id,group,quadrat_filter,msi_space,seed,k,msi,ari,internal_cost
TRIPADVISOR,clust,False,mds,1,2,0.41122270293714075,,-0.5068305391854426
TRIPADVISOR,clust,False,mds,2,2,0.4090934814991369,,-0.5025447233795757
TRIPADVISOR,clust,False,mds,3,2,0.42083169347740257,,-0.5033306489954779
TRIPADVISOR,clust,False,mds,4,2,0.41842473588983253,,-0.3657075425466704
WAVEFORM21,clust,True,feature,0,6,0.16456721856253367,,-0.058328344686518395
WAVEFORM21,clust,True,feature,1,13,0.14467288455147587,,-0.052596122001249065
WAVEFORM21,clust,True,feature,2,5,0.23745448368848424,,-0.08690427636846797
WAVEFORM21,clust,True,feature,3,9,0.22639928503132123,,-0.07111110103270886
WAVEFORM21,clust,True,feature,4,7,0.27435279148294517,,-0.07835540917512422
WAVEFORM21,clust,True,mds,0,4,0.312000280549334,,-0.3536020179676643
WAVEFORM21,clust,True,mds,1,11,0.10052272029224267,,-0.22053068548305213
WAVEFORM21,clust,True,mds,2,2,0.2475552423681644,,-0.325868755980619
WAVEFORM21,clust,True,mds,3,4,0.40268840558104085,,-0.4237557368783917
WAVEFORM21,clust,True,mds,4,14,0.1930428518601324,,-0.24208758714578996
WAVEFORM21,clust,False,feature,0,6,0.3121494070573204,,-0.0740614227562103
WAVEFORM21,clust,False,feature,1,6,0.1879699867427883,,-0.05679691319922056
WAVEFORM21,clust,False,feature,2,5,0.27256774174386994,,-0.08969056628486177
WAVEFORM21,clust,False,feature,3,6,0.24761816851687757,,-0.08178009440655196
WAVEFORM21,clust,False,feature,4,7,0.21371829040657458,,-0.07971563305300537
WAVEFORM21,clust,False,mds,0,8,0.25430886120027857,,-0.28380784836575845
WAVEFORM21,clust,False,mds,1,11,0.21537258449213662,,-0.23064503313927534
WAVEFORM21,clust,False,mds,2,15,0.23847641871110348,,-0.257763568827638
WAVEFORM21,clust,False,mds,3,7,0.21433954227525173,,-0.25093589254371473
WAVEFORM21,clust,False,mds,4,11,0.22056374835948528,,-0.22735260716439085
GAUSS9,clust,True,feature,0,6,0.33422922745880496,,-0.334229213377302
GAUSS9,clust,True,feature,1,9,0.33398004809716825,,-0.402484865119521
GAUSS9,clust,True,feature,2,5,0.33212968697686573,,-0.3321314950552322
GAUSS9,clust,True,feature,3,8,0.30186238165330365,,-0.39555408440403655
GAUSS9,clust,True,feature,4,8,0.28275504200132967,,-0.3771588315377606
GAUSS9,clust,True,mds,0,9,0.36207682174149314,,-0.361658360363804
GAUSS9,clust,True,mds,1,8,0.35986647356417845,,-0.38180152601913797
GAUSS9,clust,True,mds,2,3,0.35885193753607997,,-0.3586740730141443
GAUSS9,clust,True,mds,3,5,0.10730474817563458,,-0.3527332406466578
GAUSS9,clust,True,mds,4,4,0.2561425720118833,,-0.3560177913249167
GAUSS9,clust,False,feature,0,6,0.23072281994323554,,-0.34509245605072697
GAUSS9,clust,False,feature,1,5,0.3647803351841154,,-0.36486876485591757
GAUSS9,clust,False,feature,2,6,0.31644429373839267,,-0.37133913716023914
GAUSS9,clust,False,feature,3,6,0.24230239380291255,,-0.36392544984994507
GAUSS9,clust,False,feature,4,5,0.22408195801436448,,-0.3392423237610483
GAUSS9,clust,False,mds,0,4,0.21542930158355295,,-0.35477818050171583
GAUSS9,clust,False,mds,1,4,0.3080199186022523,,-0.3630290093249261
GAUSS9,clust,False,mds,2,5,0.25849116155616586,,-0.36221322085136215
GAUSS9,clust,False,mds,3,5,0.23521436660120895,,-0.34935817094936417
GAUSS9,clust,False,mds,4,10,0.29366737979897184,,-0.39190259991522997
AGGREGATION,classf,True,feature,0,4,0.47810027175084946,0.6679849880293653,-0.4781189271108505
AGGREGATION,classf,True,feature,1,3,0.5027328925912004,0.62476780824798,-0.5025031447034856
AGGREGATION,classf,True,feature,2,4,0.485312383006735,0.7148995975896829,-0.4856511572631672
AGGREGATION,classf,True,feature,3,7,0.39044397905409384,0.788062049117139,-0.45413362615616226
AGGREGATION,classf,True,feature,4,9,0.388161774085724,0.6123558318940894,-0.43960656561587785
AGGREGATION,classf,True,mds,0,5,0.4084033341714271,0.6755823466986695,-0.4968374223984551
AGGREGATION,classf,True,mds,1,7,0.4678679805989362,0.8983183747742137,-0.4681138317741264
AGGREGATION,classf,True,mds,2,8,0.4579291805004459,0.860711685380147,-0.4823171746251619
AGGREGATION,classf,True,mds,3,4,0.5041923341487718,0.7039931905419008,-0.5043763555523216
AGGREGATION,classf,True,mds,4,4,0.41193868913113413,0.5664518411774019,-0.5037972641753387
AGGREGATION,classf,False,feature,0,3,0.4972399543215795,0.6065190648777417,-0.49722581853820014
AGGREGATION,classf,False,feature,1,7,0.46459269897862004,0.8953089558288979,-0.46441435083060745
AGGREGATION,classf,False,feature,2,7,0.4689383542563298,0.9683863787456631,-0.46843943448284
AGGREGATION,classf,False,feature,3,6,0.39015361848531466,0.6368594599683851,-0.4646425063045546
AGGREGATION,classf,False,feature,4,4,0.40787540420385243,0.5636699912481361,-0.5032593111881267
AGGREGATION,classf,False,mds,0,3,0.4967530560818439,0.5789170930156257,-0.49417745466151053
AGGREGATION,classf,False,mds,1,7,0.46769267382874785,0.8876947849057423,-0.4677965020144497
